OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,LAT,LONG,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD,QUANTITY RELEASED,REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB - SECTOR,YEAR
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Perfluorocarbons (PFCs),10,,Landfill,Non Hazardous Landfill,2016
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Hexachlorocyclohexane (HCH) -all isomers,1,,Landfill,Non Hazardous Landfill,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Chromium,20,,Water Industry,Water Industry,2016
Siniat Limited,Siniat Limited Redlands Avenue Easton-in-Gordano,BS20 0FB,51.48960805,-2.71088511099,Wessex,Air,Nitrous oxide,10000,,Cement and Minerals,Minerals,2016
Siniat Limited,Siniat Limited Redlands Avenue Easton-in-Gordano,BS20 0FB,51.48960805,-2.71088511099,Wessex,Wastewater,Total organic carbon (TOC),50000,,Cement and Minerals,Minerals,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Lead,100,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Mercury,1,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Benzo(k)fluoranthene,1,,Combustion,EfW,2016
WasteCare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Particulate matter - total,10000,,Combustion,EfW,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Nickel,10,,Metals,Surface treatment,2016
Smart Systems Limited,Arnolds Way Arnolds Way Yatton North Somerset,BS49 4QN,51.3906740067,-2.83711920115,Wessex,Air,Sulphur oxides (SO2 and SO3) as SO2,100000,,Metals,Surface treatment,2016
Suez Recycling And Recovery Uk Ltd,Avonmouth Resource Park Merebank Road Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5151120023,-2.68606383925,Wessex,Wastewater,Chromium,20,,Combustion,EfW,2016
Suez Recycling And Recovery Uk Ltd,Avonmouth Resource Park Merebank Road Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5151120023,-2.68606383925,Wessex,Wastewater,Halogenated organic compounds - as AOX,1000,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Cadmium,1,,Combustion,EfW,2016
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Benzo(k)fluoranthene,1,,Combustion,EfW,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Arsenic,5,,Landfill,Non Hazardous Landfill,2016
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Zinc,100,,Landfill,Non Hazardous Landfill,2016
Hanson Aggregates - South West,Chipping Sodbury Wickwar Road Chipping Sodbury BRISTOL,BS37 6AY,51.5479103342,-2.39941966764,Wessex,Air,Particulate matter - PM10,50000,,No Far Sector,No Far Sector,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,"Brominated diphenylethers - penta-, octa- and deca- BDE",0,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Cyanides - as CN,50,,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,0,,Water Industry,Water Industry,2016
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Arsenic,5,,Water Industry,Water Industry,2016
SEABANK POWER LTD,Seabank Power Station Severn Road Hallen Bristol,BS10 7SP,51.528966078,-2.65340415699,Wessex,Controlled Waters,Nitrogen - as total N,50000,,Combustion,Power,2016
CLEANSING SERVICE GROUP LTD,Csg Bristol Treatment Plant Pennywell Road Bristol Avon,BS5 0TQ,51.4617497824,-2.57715858129,Wessex,Wastewater,Copper,20,,Waste treatment,Hazardous,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Total organic carbon (TOC),50000,,Metals,Surface treatment,2016
GKN AEROSPACE SERVICES LTD,New Filton House Near Golf Course Lane Filton Avon,BS99 7AR,51.5095570245,-2.58280638056,Wessex,Wastewater,Zinc,100,,Metals,Surface treatment,2016
Accolade Wines Limited,Accolade Park Kings Weston Lane Avonmouth Avon,BS11 9FG,51.5172545561,-2.68869025175,Wessex,Air,Carbon dioxide,10000000,,Food & Drink,Food & Drink,2016
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Vinyl chloride,1000,,Landfill,Non Hazardous Landfill,2017
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Dichloromethane (DCM) (Methylene chloride),1000,,Landfill,Non Hazardous Landfill,2017
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Hydrochlorofluorocarbons (HCFCs),1,1.06,Landfill,Non Hazardous Landfill,2017
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Halons,1,,Landfill,Non Hazardous Landfill,2017
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Chloroform (Trichloromethane),100,,Landfill,Non Hazardous Landfill,2017
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Wastewater,Toluene,10,,Landfill,Non Hazardous Landfill,2017
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Trichlorobenzene - all isomers,1,,Landfill,Non Hazardous Landfill,2017
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Air,Naphthalene,100,,Water Industry,Water Industry,2017
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Nonylphenols and nonylphenol ethoxylates,1,200,Water Industry,Water Industry,2017
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Cyanides - as CN,50,111,Water Industry,Water Industry,2017
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Halogenated organic compounds - as AOX,1000,8730,Water Industry,Water Industry,2017
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Phosphorus - as total P,5000,303000,Water Industry,Water Industry,2017
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Cadmium,1,8.07,Water Industry,Water Industry,2017
Stratton; Stratton; Stratton,Manor Farm Poultry Unit Near Middlepiece Lane Keynsham Avon,BS31 2TF,51.3848405519,-2.48421923553,Wessex,Air,Ammonia,1000,6545,Agriculture,Intensive Farming,2017
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Air,Hydrofluorocarbons (HFCs),100,349,Chemicals,Chemicals,2017
Avara Avlon Pharma Services Ltd,Avlon Works Severn Road Hallen Avon,BS10 7ZE,51.5462116679,-2.65668072825,Wessex,Controlled Waters,Nitrogen - as total N,50000,,Chemicals,Chemicals,2017
Augean Treatment Ltd,Augean Waste Treatment Plant Smoke Lane Avonmouth Avon,BS11 0YA,51.522484406,-2.68617491996,Wessex,Air,Particulate matter - PM10,1000,,Waste Treatment,Hazardous,2017
Augean Treatment Ltd,Augean Waste Treatment Plant Smoke Lane Avonmouth Avon,BS11 0YA,51.522484406,-2.68617491996,Wessex,Wastewater,Nickel,20,,Waste Treatment,Hazardous,2017
Suez Recycling And Recovery Uk Ltd,Severnside Energy Recovery Centre Severside Energy Recovery Centre Severn Road Hallen Avon,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Sulphur oxides (SO2 and SO3) as SO2,100000,,EfW,EfW,2017
Suez Recycling And Recovery Uk Ltd,Severnside Energy Recovery Centre Severside Energy Recovery Centre Severn Road Hallen Avon,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,272808,EfW,EfW,2017
Suez Recycling And Recovery Uk Ltd,Severnside Energy Recovery Centre Severside Energy Recovery Centre Severn Road Hallen Avon,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Benzo(k)fluoranthene,1,,EfW,EfW,2017
Suez Recycling And Recovery Uk Ltd,Severnside Energy Recovery Centre Severside Energy Recovery Centre Severn Road Hallen Avon,BS10 7SP,51.528966078,-2.65340415699,Wessex,Air,Benzo(a)pyrene,1,,EfW,EfW,2017
Rolls-Royce Power Develoments Ltd,Bristol Ocgt Power Station Rolls-Royce Mael Works Bristol,BS12 7QE,51.5265505391,-2.56457289321,Wessex,Air,Carbon monoxide,100000,,Combustion,Power,2017
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Asbestos,0,0.96,Water Industry,Water Industry,2017
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Nonylphenols and nonylphenol ethoxylates,1,30.6,Water Industry,Water Industry,2017
Wessex Water,WESTON SUPER MARE STW,BS24 0AP,51.3070251519,-2.9898184084,Wessex,Controlled Waters,Tributyltin and compounds - as TBT,0,0.00803,Water Industry,Water Industry,2017
Suez Recycling And Recovery Uk Ltd,Avonmouth Cynar Facility Avonmouth Resource Park Merebank Road Kings Weston Lane BRISTOL,BS11 9FG,51.5151120023,-2.68606383925,Wessex,Air,Mercury,1,,EfW,EfW,2017
Suez Recycling And Recovery Uk Ltd,Avonmouth Cynar Facility Avonmouth Resource Park Merebank Road Kings Weston Lane BRISTOL,BS11 9FG,51.5151120023,-2.68606383925,Wessex,Air,Benzo(k)fluoranthene,1,,EfW,EfW,2017
Tradebe Healthcare (Southwest) Limited,203 Burcott Lane Avonmouth Bristol,BS11 8AP,51.5178100531,-2.685960353,Wessex,Air,Carbon dioxide,10000000,,Waste Treatment,Hazardous,2017
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Anthracene,10,,EfW,EfW,2017
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Chlorine and inorganic chlorine compounds - as HCl,10000,,EfW,EfW,2017
Srcl Limited,Avonmouth Clinical Waste Incinerator Holesmouth Road Avonmouth Avon,BS11 9BP,51.5217321264,-2.6917847822,Wessex,Air,Benzo(k)fluoranthene,1,,EfW,EfW,2017
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Dichloromethane (DCM) (Methylene chloride),10,,Water Industry,Water Industry,2017
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Organotin compounds - as Sn,5,,Water Industry,Water Industry,2017
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Phosphorus - as total P,5000,8260,Water Industry,Water Industry,2017
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Copper,20,101,Water Industry,Water Industry,2017
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Air,Ammonia,1000,,Water Industry,Water Industry,2017
Packcare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Anthracene,10,,EfW,EfW,2017
Packcare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Arsenic,1,,EfW,EfW,2017
Packcare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Chlorine and inorganic chlorine compounds - as HCl,10000,,EfW,EfW,2017
Packcare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,"Indeno(1,2,3-cd)pyrene",1,,EfW,EfW,2017
Packcare Limited,Avonmouth Drum Incinerator Plant Avonmouth Way West Avonmouth,BS11 9HD,51.5038269949,-2.69381805949,Wessex,Air,Particulate matter - total,10000,,EfW,EfW,2017
P D Hook (Rearing),Jobes Green Farm Shepperdine Bristol Avon,BS35 1DL,51.6518243293,-2.56049062093,Wessex,Air,Particulate matter - PM10,1000,3088,Agriculture,Intensive Farming,2017
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Air,Nitrogen oxides (NO and NO2) as NO2,100000,,Landfill,Non Hazardous Landfill,2017
St Modwen Properties I S. a. r. l,KINGSWESTON LANE AVONMOUTH BRISTOL,BS11 8HT,51.508827803,-2.68438421536,Wessex,Wastewater,Zinc,100,,Landfill,Non Hazardous Landfill,2017
Etex Building Performance Limited,Etex Building Performance Limited Redland Avenue Easton-in-Gordano Bristol,BS20 0FB,51.48960805,-2.71088511099,Wessex,Air,Non-methane volatile organic compounds (NMVOCs),10000,,Cement and Minerals,Minerals,2017
Tulip Ltd,Tulip Fresh Meats Ltd Oakley Green Westerleigh Avon,BS37 8QZ,51.5075494581,-2.44604001153,Wessex,Air,Carbon dioxide,10000000,,Food & Drink,Food & Drink,2017
Alvis Bros Ltd,Lyehole Piggery Lyehole Lane Redhill Avon,BS40 5RJ,51.3539146804,-2.7265902055,Wessex,Air,Methane,10000,13905.42,Agriculture,Intensive Farming,2017
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,0,0.000164,Water Industry,Water Industry,2016
Wessex Water,BATH (SALTFORD) STW,BS31 3ER,51.4173528259,-2.44861261931,Wessex,Controlled Waters,Cadmium,1,1.22,Water Industry,Water Industry,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Benzo(b)fluoranthene,1,1.75,Water Industry,Water Industry,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Anthracene,0,3.12,Water Industry,Water Industry,2016
Viridor Waste Exeter Limited,Yanley Landfill Bridgewater Road Bristol,BS13 8AF,51.4236497729,-2.64140004536,Wessex,Air,Chlorofluorocarbons (CFCs),1,6.55,Landfill,Non Hazardous Landfill,2016
Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,51.5115793978,-2.67505868199,Wessex,Controlled Waters,Chloroform (Trichloromethane),5,8.78,Water Industry,Water Industry,2016
